name,num
风尘,296
勿,296
李端,296
出门,295
故园,295
离别,294
几,294
人生,292
贵,292
干,291
帐,290
太守,290
一枝,290
舍人,290
遥,289
浅,289
越,289
郑,288
花落,288
吴融,288
不同,287
笙歌,287
草堂,287
李中,287
龙,286
凫,285
沧海,285
晴,285
愿,284
美,283
想,283
颜色,283
薛能,283
迎,282
知己,282
辇,281
移,281
日日,281
尘埃,281
裴回,279
一片,279
赵嘏,278
郭,277
昨日,277
比,277
一朝,276
谢,276
海上,275
明日,274
潇湘,274
郎,273
车马,273
牵,273
樽,273
临,272
方,271
鳞,271
明朝,271
攀,271
林,270
翠,270
一夜,270
湿,270
抛,270
三月,270
篇,269
歌舞,269
千载,268
乐天,268
昨夜,268
睡,268
露,267
侍御,267
隐,266
四海,266
樵,266
画,266
平,265
答,265
信,265
古人,265
寂寂,265
窥,264
天台,264
涧,263
不及,263
十二,262
依,262
九日,262
往,262
堪,261
守,261
闲居,261
判官,261
观,259
不成,259
百年,259
北,259
赊,259
唱,258
萋,258
含,257
去年,257
曲江,257
杯,257
依依,257
乾坤,256
无穷,256
一曲,256
世间,256
泥,256
唯,255
慵,255
用,254
翁,254
冉,253
旌旗,252
浓,252
晓,252
任,251
李群玉,251
驻,251
庙,251
徐铉,251
识,250
每,250
敢,250
借问,249
惜,249
大夫,249
佳人,248
楼台,248
白首,248
栖,248
凝,247
阑,247
破,247
青青,247
捧,246
买,246
徐夤,246
朱,245
携手,245
归路,245
知音,245
占,245
顾况,245
衣裳,245
嫌,245
新诗,245
留别,244
尽日,243
高楼,243
贫,243
引,242
无心,241
江湖,241
君不见,241
携,241
常,240
叶,240
早晚,240
李贺,240
病,240
本,240
浮,239
沾,239
枯,239
杖,239
消息,239
琴,237
赋,237
极,237
迷,237
度,236
频,236
邑,236
池上,236
一日,236
斋,236
秋水,236
立,235
憔悴,235
直,235
杀,235
栽,235
江山,234
不足,234
郢,233
曹,233
锦,233
收,233
背,233
号,233
云雨,233
扁舟,233
变,232
千万,232
送客,232
安,231
登高,231
人家,231
空山,231
谿,231
官,231
二,230
鸿,230
江水,230
夜深,230
群,229
往来,229
西风,229
昙,228
请,228
邻,228
零落,228
堕,228
雁,227
孤舟,227
蓬莱,227
逍遥,227
不胜,227
一生,227
鹦鹉,227
异,226
山下,226
二月,226
门外,225
阁,224
夕,224
翠微,224
神,224
美人,223
东南,223
忝,223
兄弟,223
何日,223
府,223
司马,222
顾,222
宽,222
追,222
要,222
风光,222
从来,222
檐,222
宋之问,221
何以,221
功,221
岁月,221
关山,221
三千,221
巫山,221
山居,221
楼上,220
今年,220
迢迢,220
霁,220
遗,220
李频,220
湋,219
李峤,219
凉,219
一身,219
昔,218
赋得,218
献,218
帘,218
绛,218
冥,218
半夜,218
八月,218
送君,218
泉,217
管弦,217
峰,217
岸,216
甚,216
相识,216
觅,216
赏,215
早春,215
终,215
耿,214
万古,214
披,214
无处,214
火,214
臣,213
写,213
车,213
金陵,213
时节,213
兹,212
秋色,212
闻道,212
自然,212
风景,212
造化,212
青春,212
年少,212
指,211
称,211
话,211
高適,211
光辉,210
公子,210
李益,210
世人,210
牡丹,210
定,209
凉风,209
纵横,209
颇,209
长沙,209
藏,208
旧游,208
不用,208
田,208
黍,208
